Date,Open,High,Low,Close
2010-01-04,55.5,55.5,55.0,55.5
2010-01-05,55.5,59.0,55.5,59.0
2010-01-06,59.0,59.0,58.5,59.0
2010-01-07,59.0,59.0,59.0,59.0
2010-01-08,59.5,59.5,59.0,59.0
2010-01-11,59.0,59.0,56.5,56.5
2010-01-12,56.5,58.5,56.5,58.0
2010-01-13,57.5,57.5,56.0,57.5
2010-01-14,58.0,58.0,57.5,58.0
2010-01-15,58.0,58.5,58.0,58.5
2010-01-18,58.5,58.5,57.5,57.5
2010-01-19,57.5,57.5,57.0,57.0
2010-01-20,57.5,57.5,56.5,56.5
2010-01-21,56.5,57.0,56.5,56.5
2010-01-22,56.5,56.5,55.0,55.0
2010-01-25,55.0,55.0,54.0,54.5
2010-01-26,54.5,55.0,53.0,53.0
2010-01-27,54.0,55.0,53.5,55.0
2010-01-28,54.0,54.5,54.0,54.0
2010-01-29,54.0,54.0,52.5,52.5
2010-02-01,52.5,52.5,51.5,52.0
2010-02-02,53.0,53.0,52.5,52.5
2010-02-03,53.0,53.0,52.5,53.0
2010-02-04,53.5,55.0,53.5,54.5
2010-02-05,52.5,54.5,52.5,54.5
2010-02-08,53.5,54.5,53.5,54.0
2010-02-09,53.0,53.0,52.0,52.5
2010-02-10,53.5,54.0,53.5,54.0
2010-02-11,54.5,54.5,54.0,54.0
2010-02-12,54.0,54.0,53.0,53.0
2010-02-15,53.0,53.5,52.5,52.5
2010-02-16,53.0,53.5,53.0,53.5
2010-02-17,53.5,54.5,53.0,54.5
2010-02-18,54.5,54.5,53.0,53.0
2010-02-19,53.0,54.0,53.0,53.5
2010-02-22,53.5,54.5,53.5,54.5
2010-02-23,54.0,54.5,54.0,54.0
2010-02-24,53.5,53.5,53.0,53.0
2010-02-25,53.5,54.5,53.0,54.5
2010-02-26,55.0,57.5,55.0,57.5
2010-03-01,57.5,57.5,56.0,56.5
2010-03-02,56.5,57.5,55.5,56.5
2010-03-03,57.5,58.5,57.5,58.5
2010-03-04,58.5,58.5,54.0,54.0
2010-03-05,54.5,56.0,54.5,56.0
2010-03-08,56.5,57.5,56.5,57.5
2010-03-09,57.5,58.0,57.5,58.0
2010-03-10,58.0,58.5,58.0,58.0
2010-03-11,58.0,58.5,57.5,57.5
2010-03-12,57.5,57.5,57.0,57.0
2010-03-15,57.0,57.5,57.0,57.0
